platform_name,station_count,oblast_coverage,cez_station_count,untrusted_station_count
Міністерство охорони здоров'я України,312,25,0,0
Український гідрометеорологічний центр,155,25,1,0
"ДСП ""Екоцентр""",67,1,67,0
SaveDnipro & Safecast,64,17,4,0
Eco City,55,14,0,0
"ВП ""Запорізька Атомна Електростанція""",38,2,0,0
ГУ ДСНС України у Львівській області,38,1,0,0
Європейська система обміну радіологічними даними,29,2,28,0
ГУ ДСНС України у Черкаській області,29,1,0,0
Росгідромет,28,4,0,28
SaveDnipro & uRADMonitor,20,9,0,0
SaveDnipro & Greenpeace,18,11,0,0
"ВП ""Хмельницька Атомна Електростанція""",14,2,0,0
"ВП ""Рівненська Атомна Електростанція""",13,2,0,0
"ВП ""Южно-Українська Атомна Електростанція""",13,1,0,0
КП «ЦЕМ» ДОР,12,1,0,0
"ДСП ""Чорнобильська Атомна Електростанція""",10,1,10,0
Головний центр спеціального контролю,10,4,0,0
ГУ Держпродспоживслужби в Черкаській області,8,1,0,0
Київська міська державна адміністрація,7,1,0,0
ДТЕК,7,6,0,0
Луцька міська рада,6,1,0,0
АТ «НАЕК «Енергоатом»,4,4,0,0
Южноукраїнська міська рада,4,1,0,0
Покровська міська рада,3,1,0,0
Ладижинська сільська рада,3,1,0,0
Дніпронет,3,1,0,0
Драбівська селищна рада,3,1,0,0
Мошнівська сільська рада,2,1,0,0
uRADMonitor,2,2,0,0
Паланська сільська громада,2,1,0,0
Кам’янець-Подільська міська рада,2,1,0,0
Шрамківська сільська рада,2,1,0,0
"АТ ""Криворізький залізорудний комбінат""",1,1,0,0
Єрківська селищна рада,1,1,0,0
Іваньківська сільська рада,1,1,0,0
SaveDnipro & SÚRO,1,1,0,0
Іркліївська сільська рада,1,1,0,0
Багачевська міська рада,1,1,0,0
Бабанська селищна рада,1,1,0,0
Гельмязівська сільська громада,1,1,0,0
Великосевастянівський ліцей ,1,1,0,0
Буцька селищна рада,1,1,0,0
Будищенська сільська рада,1,1,0,0
Верхняцький ліцей (Ліщинівська філія),1,1,0,0
Вознесенська сільська рада,1,1,0,0
Кузьминогребельський ліцей ,1,1,0,0
Кременчуцька міська рада,1,1,0,0
Жаботинська сільська рада,1,1,0,0
Калинопільська селищна громада,1,1,0,0
ЕКОТЕСТ,1,1,0,0
Департамент цивільного захисту Черкаської ОВА,1,1,0,0
Дмитрушківська сільська рада,1,1,0,0
Державна служба України з надзвичайних ситуацій,1,1,0,0
Балаклеївська сільська рада,1,1,0,0
Баштечківська сільська рада,1,1,0,0
Маньківська селищна рада,1,1,0,0
Одеський державний екологічний університет,1,1,0,0
Монастирищенська міська рада,1,1,0,0
Михайлівська сільська рада,1,1,0,0
Ліплявська сільська рада,1,1,0,0
Лисичобалківська сільська рада,1,1,0,0
Райгородська сільська рада,1,1,0,0
ПрАТ «Миронівська птахофабрика»,1,1,0,0
Покровська сільська рада,1,1,0,0
Пальчиківська сільська рада,1,1,0,0
Селищенська сільська рада,1,1,0,0
Смілянська міська рада,1,1,0,0
Свидівоцька сільська рада,1,1,0,0
Руськополянська сільська рада,1,1,0,0
Степанківська сільська рада,1,1,0,0
Стеблівська селищна громада,1,1,0,0
Уманський гуманітарно-педагогічний фаховий коледж,1,1,0,0
Хлистунівський старостинський округ,1,1,0,0
Черкаський обласний онкологічний диспансер,1,1,0,0
Червонослобідська сільська рада,1,1,0,0
Ярошівська сільська рада,1,1,0,0
,1,1,0,0
